files,title,id,authors
P83-1000.pdf,Front Matter,P83-1000,
"P83-1001.pdf,P83-1001.bib",CONTEXT-FREENESS AND THE COMPUTER PROCESSING OF HUMAN LANGUAGES,P83-1001,Geoffrey K. Pullum
"P83-1002.pdf,P83-1002.bib","FACTORING RECURSION AND DEPENDENCIES: AN ASPECT OF TREE ADJOINING GRAMMARS (TAG) AND A COMPARISON OF SOME FORMAL PROPERTIES OF TAGS, GPSGS, PLGS, AND LPGS",P83-1002,Aravind K. Joshi
"P83-1003.pdf,P83-1003.bib",Crossed Serial Dependencies: A low-power parseable extension to GPSG,P83-1003,Henry Thompson
"P83-1004.pdf,P83-1004.bib",Formal Constraints on Metarules,P83-1004,"Stuart M. Shieber,Swan U. Stucky,Hans Uszkoreit,Jane J. Robinson"
"P83-1005.pdf,P83-1005.bib",A PROLEGOMENON TO SITUATION SEMANTICS,P83-1005,David J. Israel
"P83-1006.pdf,P83-1006.bib",A Modal Temporal Logic for Reasoning about Change,P83-1006,Eric Mays
"P83-1007.pdf,P83-1007.bib",PROVIDING A UNIFIED ACCOUNT OF DEFINITE NOUN PHRASES IN DISCOURSE,P83-1007,"Barbara J. Grosz,Aravind K. Joshi,Scott Weinstein"
"P83-1008.pdf,P83-1008.bib",USING X-CALCULUS TO REPRESENT MEANINGS IN LOGIC GRAMMARS,P83-1008,David Scott Warren
"P83-1009.pdf,P83-1009.bib",AN IMPROPER TREATMENT OF QUANTIFICATION IN ORDINARY ENGLISH,P83-1009,Jerry R. Hobbs
"P83-1010.pdf,P83-1010.bib",A FOUNDATION FOR SEMANTIC INTERPRETATION,P83-1010,Graeme Hirst
"P83-1011.pdf,P83-1011.bib",TELEGRAM: A GRAMMAR. FORMALISM FOR LANGUAGE PLANNING,P83-1011,Douglas E Appelt
"P83-1012.pdf,P83-1012.bib",AN OVERVIEW OF THE NIGEL TEXT GENERATION GRAMMAR,P83-1012,William C. Mann
"P83-1013.pdf,P83-1013.bib",Automatic Recognition of Intonation Patterns,P83-1013,Janet B. Pierrehumbert
"P83-1014.pdf,P83-1014.bib",A Finite-State Parser for Use in Speech Recognition,P83-1014,Kenneth W. Church
"P83-1015.pdf,P83-1015.bib",On the Mathematical Properties of Linguistic Theories,P83-1015,C. Raymond Perrault
"P83-1016.pdf,P83-1016.bib",A Framework for Processing Partially Free Word Order,P83-1016,Hans Uszkoreit
"P83-1017.pdf,P83-1017.bib",Sentence Disambiguation by a Shift-Reduce Parsing Technique,P83-1017,Stuart M. Shieber
"P83-1018.pdf,P83-1018.bib",SYNTACTIC CONSTRAINTS AND EFFICIENT PARSABILITY,P83-1018,"Robert C. Berwick,Amy S. Weinberg"
"P83-1019.pdf,P83-1019.bib",Deterministic Parsing of Syntactic Non-fluencies,P83-1019,Donald Hindle
"P83-1020.pdf,P83-1020.bib",D-Theory: Talking about Talking about Trees,P83-1020,"Mitchell P. Marcus,Donald Hindle,Margaret M. Fleck"
"P83-1021.pdf,P83-1021.bib",PARSING AS DEDUCTION,P83-1021,"Fernando C. N. Pereira,David H. D. Warren"
"P83-1022.pdf,P83-1022.bib",DESIGN OF A KNOWLEDGE-BASED REPORT GENERATOR,P83-1022,Karen Kukich
"P83-1023.pdf,P83-1023.bib",MENU-BASED NATURAL LANGUAGE UNDERSTANDING,P83-1023,"Harry R. Tennant,Kenneth M. Ross,Richard M. Saenz,Craig W. Thompson,James R. Miller"
"P83-1024.pdf,P83-1024.bib","Knowledge Structures in UC, the UNIX* Consultant",P83-1024,David N. Chin
"P83-1025.pdf,P83-1025.bib",Discourse Pragmatics and Ellipsis Resolution in Task-Oriented Natural Language Interfaces,P83-1025,Jaime G. Carbonell
P82-1000.pdf,Front Matter,P82-1000,
"P82-1001.pdf,P82-1001.bib",TRANSLATING ENGLISH INTO LOGICAL FORM,P82-1001,"Stanley J. Rosenschein,Stuart M. Shieber"
"P82-1002.pdf,P82-1002.bib",LINGUISTIC AND COMPUTATIONAL SEMANTICS,P82-1002,Brian Cantwell Smith
"P82-1003.pdf,P82-1003.bib",THE REPRESENTATION OF INCONSISTENT INFORMATION IN A DYNAMIC MODEL-THEORETIC SEMANTICS,P82-1003,Douglas B. Moran
"P82-1004.pdf,P82-1004.bib",What's in a Semantic Network?,P82-1004,"James F. Allen,Alan M. Frisch"
"P82-1005.pdf,P82-1005.bib",DEPENDENCIES OF DISCOURSE STRUCTURE ON THE MODALITY OF COMMUNICATION: TELEPHONE vs. TELETYPE,P82-1005,"Philip R. Cohen,Scott Fertig,Kathy Starr"
"P82-1006.pdf,P82-1006.bib",TOWARDS A THEORY OF COMPREHENSION OF DECLARATIVE CONTEXTS,P82-1006,Fernando Gomez
"P82-1007.pdf,P82-1007.bib",NATURAL-LANGUAGE ACCESS TO DATABASES--THEORETICAL/TECHNICAL ISSUES,P82-1007,Robert C. Moore
"P82-1008.pdf,P82-1008.bib",TRANSPORTABLE NATURAL-LANGUAGE INTERFACES: PROBLEMS AND TECHNIQUES,P82-1008,Barbara J. Grosz
"P82-1009.pdf,P82-1009.bib",THEORETICAL/TECHNICAL ISSUES IN NATURAL LANGUAGE ACCESS TO DATABASES,P82-1009,S. R. Petrick
"P82-1010.pdf,P82-1010.bib",ENGLISH WORDS AND DATA BASES: HOW TO BRIDGE THE GAP,P82-1010,Remko J. H. Scha
"P82-1011.pdf,P82-1011.bib",Problems With Domain-Independent Natural Language Database Access Systems,P82-1011,Steven P. Shwartz
"P82-1012.pdf,P82-1012.bib",ISSUES IN NATURAL LANGUAGE ACCESS TO DATABASES FROM A LOGIC PROGRAMMING PERSPECTIVE,P82-1012,David H. D. Warren
"P82-1013.pdf,P82-1013.bib",NATURAL LANGUAGE DATABASE UPDATES,P82-1013,"Sharon C. Salveter,David Maier"
"P82-1014.pdf,P82-1014.bib",PROCESSING ENGLISH WITH A GENERALIZED PHRASE STRUCTURE GRAMMAR,P82-1014,"Jean Mark Gawron,Jonathan King,John Lamping,Egon Loebner,E. Anne Paulson,Geoffrey K. Pullum,Ivan A. Sag,Thomas Wasow"
"P82-1015.pdf,P82-1015.bib",Experience with an Easily Computed Metric for Ranking Alternative Parses,P82-1015,George E. Heidorn
"P82-1016.pdf,P82-1016.bib",An Improved Heuristic for Ellipsis Processing,P82-1016,"Ralph M. Weischedel,Norman K. Sondheimer"
"P82-1017.pdf,P82-1017.bib",REFLECTIONS ON 20 YEARS OF THE ACL AN INTRODUCTION,P82-1017,Donald E. Walker
"P82-1018.pdf,P82-1018.bib",OUR DOUBLE ANNIVERSARY,P82-1018,Victor H. Yngve
"P82-1019.pdf,P82-1019.bib",2002: ANOTHER SCORE,P82-1019,David G. Hays
"P82-1020.pdf,P82-1020.bib",MY TERM,P82-1020,Winfred P. Lehmann
"P82-1021.pdf,P82-1021.bib",A SOCIETY IN TRANSITION,P82-1021,Donald E. Walker
"P82-1022.pdf,P82-1022.bib",THEMES FROM 1972,P82-1022,Robert F. Simmons
"P82-1023.pdf,P82-1023.bib",TWENTY YEARS OF REFLECTIONS,P82-1023,Aravind K. Joshi
"P82-1024.pdf,P82-1024.bib",ACL IN 1977,P82-1024,Paul G. Chapin
"P82-1025.pdf,P82-1025.bib",REFLECTIONS ON TWENTY YEARS OF THE ACL,P82-1025,Jonathan Allen
"P82-1026.pdf,P82-1026.bib",ON THE PRESENT,P82-1026,Norman K. Sondheimer
"P82-1027.pdf,P82-1027.bib",PLANNING NATURAL LANGUAGE REFERRING EXPRESSIONS,P82-1027,Douglas R. Appelt
"P82-1028.pdf,P82-1028.bib",THE TEXT SYSTEM FOR NATURAL LANGUAGE GENERATION: AN OVERVIEW,P82-1028,Kathleen R. Mc Keown
"P82-1029.pdf,P82-1029.bib",AUGMENTING A DATABASE KNOWLEDGE REPRESENTATION FOR NATURAL LANGUAGE GENERATION,P82-1029,Kathleen F. McCoy
"P82-1030.pdf,P82-1030.bib",SALIENCE: THE KEY TO THE SELECTION PROBLEM IN NATURAL LANGUAGE GENERATION,P82-1030,"E. Jeffrey Conklin,David D. McDonald"
"P82-1031.pdf,P82-1031.bib",A KNOWLEDGE ENGINEERING APPROACH TO NATURAL LANGUAGE UNDERSTANDING,P82-1031,"Stuart C. Shapiro,Jeannette G. Neal"
"P82-1032.pdf,P82-1032.bib",A Model of Early Syntactic Development,P82-1032,Pat Langley
"P82-1033.pdf,P82-1033.bib",BUILDING NON-NORMATIVE SYSTEMS - THE SEARCH FOR ROBUSTNESS AN OVERVIEW,P82-1033,Mitchell P. Marcus
"P82-1034.pdf,P82-1034.bib",DESIGN DIMENSIONS FOR NON-NORMATIVE UNDERSTANDING SYSTEMS,P82-1034,Robert J. Bobrow
"P82-1035.pdf,P82-1035.bib",Scruffy Text Understanding: Design and Implementation of 'Tolerant' Understanders,P82-1035,Richard H. Granger
"P82-1036.pdf,P82-1036.bib",ON THE LINGUISTIC CHARACTER OF NON-STANDARD INPUT,P82-1036,"Anthony S. Kroch,Donald Hindle"
"P82-1037.pdf,P82-1037.bib",Ill-Formed and Non-Standard Language Problems,P82-1037,Stan Kwasny
"P82-1038.pdf,P82-1038.bib","""NATURAL LANGUAGE TEXTS ARE NOT NECESSARILY GRAMMATICAL AND UNAMBIGUOUS OR EVEN COMPLETE.""",P82-1038,Lance A. Miller
"P82-1039.pdf,P82-1039.bib",SOLUTIONS TO ISSUES DEPEND ON THE KNOWLEDGE REPRESENTATION,P82-1039,Frederick B. Thompson
P84-1000.pdf,Front Matter,P84-1000,
"P84-1001.pdf,P84-1001.bib",Multilingual Text Processing in a Two-Byte Code,P84-1001,Lloyd B. Anderson
"P84-1002.pdf,P84-1002.bib",CONVEYING IMPLICIT CONTENT IN NARRATIVE SUMMARIES,P84-1002,"Malcolm E. Cook,Wendy G. Lehnert,David D. McDonald"
"P84-1003.pdf,P84-1003.bib",TRANSFORMING ENGLISH INTERFACES TO OTHER NATURAL LANGUAGES: AN EXPERIMENT WITH PORTUGUESE,P84-1003,ABRIEL PEREIRA LOPES
"P84-1004.pdf,P84-1004.bib",UN OUTIL MULTIDIMENSIONNEL DE L'ANALYSE DU DISCOURS,P84-1004,J. CHAUCAE
"P84-1005.pdf,P84-1005.bib",A STOCHASTIC APPROACH TO SENTENCE PARSING,P84-1005,Tetsunosuke Fujisaki
"P84-1006.pdf,P84-1006.bib",BOUNDED CONTEXT PARSING AND EASY LEARNABIITY,P84-1006,Robert C. Berwick
"P84-1007.pdf,P84-1007.bib",THE REPRESENTATION OF CONSTITUENT STRUCTURES FOR FINITE-STATE PARSING,P84-1007,"D. Terence Langendoen,Yedidyah Langsam"
"P84-1008.pdf,P84-1008.bib",Features and Values,P84-1008,Lauri Karttunen
"P84-1009.pdf,P84-1009.bib",APPLICATIONS OF A LEXICOGRAPHICAL DATA BASE FOR GERMAN,P84-1009,Wolfgang Teubert
"P84-1010.pdf,P84-1010.bib",DENORMALIZATION AND CROSS REFERENCING IN THEORETICAL LEXICOGRAPHY,P84-1010,Joseph E. Grimes
